id,scientific_name,synonyms,description,english_name,kingdom,phylum,class_,order,family,genus,characteristics,biotope,countries__ids,domesticated/cultivated,endemic,general_uses,notes,refs__ids,links
adenialanceolata,Adenia lanceolata,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adenialobata,Adenia lobata,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniaracemosa,Adenia racemosa,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniarepanda,Adenia repanda,,(Burch.) Engl.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Adenia,,,,,,,,,
adeniasubsessilifolia,Adenia subsessilifolia,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniatricostata,Adenia tricostata,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniavenenata,Adenia venenata,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniavolkensii,Adenia volkensii,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniumboehmianum,Adenium boehmianum,,,,Plantae,,,,,Adenium,,,,,,,,[PROTA],
adeniummultiflorum,Adenium multiflorum,,Klotzsch,,Plantae,,,,,Adenium,,,,,,,,[plantzafrica.com],
adeniumobesum,Adenium obesum,,,,Plantae,,,,,Adenium,,,,,,,,[PROTA],
adeniumoleifolium,Adenium oleifolium,,Stapf,Ouheip,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,"succulent, up to 1 m tall, large stem tuber above the ground, longitudinal leaves, pink flowers","dry river course, sandy soil","BW,NA,ZA",,,,,,
adeniumswazicum,Adenium swazicum,,,,Plantae,,,,,Adenium,,,,,,,,[PROTA],
adenopodiaspicata,Adenopodia spicata,,(E.Mey.) C.Presl,,Plantae,,,,,Adenopodia,,,,,,,,[plantzafrica.com],
adenorandiakalbreyeri,Adenorandia kalbreyeri,,,,Plantae,,,,,Adenorandia,,,,,,,,[PROTA],
aegypiinae,Aegypiinae,,"Peters, 1931",Old World vulture,Animalia,Chordata,Aves,Falconiformes,Accipitridae,,,check,"BW,NA,ZA",,,,,,
aenigmatolimnasmarginalis,Aenigmatolimnas marginalis,,"(Hartlaub, 1857)",Striped Crake,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aenigmatolimnas,carnivore; body-length: 20 cm; brown upperparts with long white stripes; rust-coloured flanks; femal: blue-grey breast and belly,"marshland, flooded grassland",,,,,,,
aeollanthusparvifolius,Aeollanthus parvifolius,,Benth.,,Plantae,,,,,Aeollanthus,,,,,,,,[plantzafrica.com],
aepycerosmelampus,Aepyceros melampus,,"(Lichtenstein, 1812)",Impala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,herbivore; height: 90 cm; females lack horns,"savanna,scrubforest, grassland","BW,ZA",,,,,,
aepycerosmelampusmelampus,Aepyceros melampus melampus,,"(Lichtenstein, 1812)",Common Impala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,"herbivore; height: 90 cm; reddish-brown back, light brown flanks and white belly; three black stripes on the hindquarters; females are smaller and lack horns","savanna, grassland, woodland","BW,MZ,ZA,ZW",,,,,,
aepycerosmelampuspetersi,Aepyceros melampus petersi,,"Bocage, 1879",Blacked-faced impala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,"herbivore; height: 90 cm, dull brown coat, lighter brown on the flanks and white on the belly; black blaze on the face; females are smaller and lack horns",woodland,"AO,NA",,,,,,
aervajavanica,Aerva javanica,,(Burm. f.) Juss. ex Schult.,Java aerva,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Aerva,,,"FR,ML",,,,,,
aervaleucura,Aerva leucura,,Moq.,Aerva sp.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Aerva,,,"BW,NA,ZA",,,,,,
aeschynomenecrassicaulis,Aeschynomene crassicaulis,,,,Plantae,,,,,Aeschynomene,,,,,,,,[PROTA],
aeschynomenecristata,Aeschynomene cristata,,,,Plantae,,,,,Aeschynomene,,,,,,,,[PROTA],
aeschynomeneelaphroxylon,Aeschynomene elaphroxylon,,,,Plantae,,,,,Aeschynomene,,,,,,,,[PROTA],
aeschynomeneindica,Aeschynomene indica,,L.,Indian jointvetch,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,,,"AU,BF,BJ,ML,NG,PL,SN,US",,,,,,
